reporter_iso3,reporter_name,reference_year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp,has_gdp_data,has_population_data,has_gdp_growth_data,has_trade_pct_gdp_data
AZE,Azerbaijan,2021,54825411765.0,10137750,5.616440272,76.28686569,True,True,True,True
AZE,Azerbaijan,2022,78807470588.0,10141756,4.714680332,86.98227325,True,True,True,True
AZE,Azerbaijan,2023,72428470588.0,10153958,1.354477491,83.53588612,True,True,True,True
AZE,Azerbaijan,2024,74426000000.0,10202830,4.158068004,82.56752463,True,True,True,True
BDI,Burundi,2015,2810532912.0,11047580,-0.404525595,,True,True,True,False
BDI,Burundi,2016,2618093125.0,11239451,3.200174704,,True,True,True,False
BDI,Burundi,2017,2831362208.0,11506762,3.831857571,,True,True,True,False
BDI,Burundi,2018,2913411408.0,11859446,5.342244732,,True,True,True,False
BDI,Burundi,2019,2871555326.0,12255336,4.459342024,,True,True,True,False
BDI,Burundi,2020,3188355944.0,12617036,0.306443812,,True,True,True,False
BDI,Burundi,2021,3425127991.0,12965481,3.237074794,,True,True,True,False
BDI,Burundi,2022,4020736757.0,13321097,2.317701224,,True,True,True,False
BDI,Burundi,2023,3419558408.0,13689450,3.254768973,,True,True,True,False
BDI,Burundi,2024,3037579858.0,14047786,4.112273764,,True,True,True,False
BEL,Belgium,2015,461045000000.0,11274196,1.474164337,155.068682,True,True,True,True
BEL,Belgium,2016,474272000000.0,11331422,1.19350273,159.0576966,True,True,True,True
BEL,Belgium,2017,500909000000.0,11375158,1.474467616,166.9040782,True,True,True,True
BEL,Belgium,2018,542639000000.0,11427054,1.877968474,168.2776929,True,True,True,True
BEL,Belgium,2019,536726000000.0,11488980,2.442890045,165.4654789,True,True,True,True
BEL,Belgium,2020,529694000000.0,11538604,-4.792983908,156.9501213,True,True,True,True
BEL,Belgium,2021,598522000000.0,11586195,6.254456865,177.3819122,True,True,True,True
BEL,Belgium,2022,591474000000.0,11680210,4.024608528,191.0534181,True,True,True,True
BEL,Belgium,2023,650779000000.0,11779946,1.561255395,165.9874407,True,True,True,True
BEL,Belgium,2024,670983000000.0,11858610,1.097753838,159.0234811,True,True,True,True
BEN,Benin,2015,11388160997.0,11360681,1.77815106,56.75631318,True,True,True,True
BEN,Benin,2016,11821065853.0,11697842,3.339673426,58.98692834,True,True,True,True
BEN,Benin,2017,12701655837.0,12039780,5.671561952,61.47659696,True,True,True,True
BEN,Benin,2018,14262408090.0,12383347,6.697253622,61.79519449,True,True,True,True
BEN,Benin,2019,14391686313.0,12726755,6.865686628,63.68133231,True,True,True,True
