reporter_iso,reporter_name,year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp
AZE,Azerbaijan,2017,40866627352,9854033,0.153614662,90.40231568
AZE,Azerbaijan,2018,47112470052,9939771,1.500401672,91.67257654
AZE,Azerbaijan,2019,48174235294,10024283,2.479808792,85.81814541
AZE,Azerbaijan,2020,42693000000,10093121,-4.198960653,72.01786765
AZE,Azerbaijan,2021,54825411765,10137750,5.616440272,76.28686569
AZE,Azerbaijan,2022,78807470588,10141756,4.714680332,86.98227325
AZE,Azerbaijan,2023,72428470588,10153958,1.354477491,83.53588612
AZE,Azerbaijan,2024,74426000000,10202830,4.158068004,82.56752463
BDI,Burundi,2015,2810532912,11047580,-0.404525595,
BDI,Burundi,2016,2618093125,11239451,3.200174704,
BDI,Burundi,2017,2831362208,11506762,3.831857571,
BDI,Burundi,2018,2913411408,11859446,5.342244732,
BDI,Burundi,2019,2871555326,12255336,4.459342024,
BDI,Burundi,2020,3188355944,12617036,0.306443812,
BDI,Burundi,2021,3425127991,12965481,3.237074794,
BDI,Burundi,2022,4020736757,13321097,2.317701224,
BDI,Burundi,2023,3419558408,13689450,3.254768973,
BDI,Burundi,2024,3037579858,14047786,4.112273764,
BEL,Belgium,2015,4.61045E+11,11274196,1.474164337,155.068682
BEL,Belgium,2016,4.74272E+11,11331422,1.19350273,159.0576966
BEL,Belgium,2017,5.00909E+11,11375158,1.474467616,166.9040782
BEL,Belgium,2018,5.42639E+11,11427054,1.877968474,168.2776929
BEL,Belgium,2019,5.36726E+11,11488980,2.442890045,165.4654789
BEL,Belgium,2020,5.29694E+11,11538604,-4.792983908,156.9501213
BEL,Belgium,2021,5.98522E+11,11586195,6.254456865,177.3819122
BEL,Belgium,2022,5.91474E+11,11680210,4.024608528,191.0534181
BEL,Belgium,2023,6.50779E+11,11779946,1.561255395,165.9874407
BEL,Belgium,2024,6.70983E+11,11858610,1.097753838,159.0234811
BEN,Benin,2015,11388160997,11360681,1.77815106,56.75631318
BEN,Benin,2016,11821065853,11697842,3.339673426,58.98692834
BEN,Benin,2017,12701655837,12039780,5.671561952,61.47659696
BEN,Benin,2018,14262408090,12383347,6.697253622,61.79519449
BEN,Benin,2019,14391686313,12726755,6.865686628,63.68133231
BEN,Benin,2020,15686741884,13070169,3.8487924,44.83323338
BEN,Benin,2021,17687623530,13413417,7.155451646,48.05486083
BEN,Benin,2022,17425405091,13759501,6.252947054,44.38159289
BEN,Benin,2023,19673291004,14111034,6.352777385,44.66313082
BEN,Benin,2024,21482643706,14462724,7.453115662,40.63980224
BFA,Burkina Faso,2015,11832159316,18777487,3.921228794,59.08918131
BFA,Burkina Faso,2016,12833363045,19334856,5.957976708,57.8931728
BFA,Burkina Faso,2017,14106955615,19894407,6.203489411,59.2687802
BFA,Burkina Faso,2018,15890066221,20438288,6.604569068,60.59562562
BFA,Burkina Faso,2019,16032813503,20961952,5.889204971,60.40869288
BFA,Burkina Faso,2020,17725010533,21478690,2.010772624,60.73977864
BFA,Burkina Faso,2021,19697516284,21995243,6.942524926,62.42035866
BFA,Burkina Faso,2022,18622421395,22509038,1.626732582,67.52029013
BFA,Burkina Faso,2023,20106062972,23025776,3.000274158,63.15304359
BFA,Burkina Faso,2024,23136514856,23548781,4.833958102,60.49289885
BGD,Bangladesh,2015,1.95147E+11,159383179,6.552639878,42.08599631
BGD,Bangladesh,2016,2.65225E+11,160811932,7.113478213,31.33415013
BGD,Bangladesh,2017,2.93732E+11,162186147,6.590249998,29.99973067
BGD,Bangladesh,2018,3.21363E+11,163523103,7.31941263,32.51463172
BGD,Bangladesh,2019,3.51232E+11,164913055,7.881915151,31.57805449
BGD,Bangladesh,2020,3.73979E+11,166298024,3.448017551,26.27144738
BGD,Bangladesh,2021,4.16272E+11,167658854,6.938679124,27.7240047
BGD,Bangladesh,2022,4.60132E+11,169384897,7.099828776,33.77996727
BGD,Bangladesh,2023,4.37415E+11,171466990,5.77511237,30.98297141
BGD,Bangladesh,2024,4.50119E+11,173562364,4.223259113,26.7780758
BGR,Bulgaria,2015,50768512173,6984225,3.39755352,126.7366523
BGR,Bulgaria,2016,53932152154,6894139,3.026628201,122.8055191
BGR,Bulgaria,2017,59170671046,6803468,2.745927378,129.6344338
BGR,Bulgaria,2018,66100606677,6710798,2.330150542,129.1665022
BGR,Bulgaria,2019,68511235459,6616726,3.793319646,125.2604151
BGR,Bulgaria,2020,70490478088,6550696,-3.133235431,110.4239031
BGR,Bulgaria,2021,84378926047,6507301,7.828173107,121.214091
BGR,Bulgaria,2022,90510784778,6465097,4.083863981,138.8448728
BGR,Bulgaria,2023,1.02204E+11,6446596,1.681510758,119.8995059
BGR,Bulgaria,2024,1.13349E+11,6441421,3.38708962,110.2263177
BHR,Bahrain,2015,32523297872,1370322,2.507872053,147.9160602
BHR,Bahrain,2016,33884680851,1423726,3.814993274,132.8229979
BHR,Bahrain,2017,37204813830,1501116,4.953835341,136.4292398
BHR,Bahrain,2018,39567978723,1503091,2.05258865,144.0753726
